matrix_name,matrix_size,nnz,solver,tolerance,max_iters,rhs,precision,prec,prec_kv,prec_label,construction_time,is_converged,iters,true_relres_2,final_relres_2,final_relerr_2,final_relerr_A,solve_time,solve_status,condition_number
FIDAP/ex10hs,2548,57308,cg,1e-12,5096,ones,dd,none,,CG (DD),0.0,0,5096.0,3.556708e-07,3.556708e-07,0.2581772,1.103704e-05,16.823,max_iterations,1269503477666.13
FIDAP/ex13,2568,75628,cg,1e-12,5136,ones,dd,none,,CG (DD),0.0,0,5136.0,1.287673e-10,1.287673e-10,0.4676549,1.198644e-06,21.459,max_iterations,4009583642177200.0
FIDAP/ex15,6867,98671,cg,1e-12,13734,ones,dd,none,,CG (DD),0.0,0,13734.0,5.121094e-10,5.121094e-10,0.253789,1.555932e-06,85.995,max_iterations,14326420467489.8
FIDAP/ex3,1821,52685,cg,1e-12,3642,ones,dd,none,,CG (DD),0.0,0,3642.0,5.89793e-09,5.89793e-09,0.002283904,3.752833e-07,10.649,max_iterations,61136155217.2379
FIDAP/ex33,1733,22189,cg,1e-12,3466,ones,dd,none,,CG (DD),0.0,0,3466.0,4.402874e-10,4.402874e-10,0.4197111,5.982284e-06,5.017,max_iterations,12008117207541.5
FIDAP/ex5,27,279,cg,1e-12,54,ones,dd,none,,CG (DD),0.0,0,54.0,1.425587e-07,1.425587e-07,1.136172e-11,1.006325e-10,0.001,max_iterations,132277836.528642
FIDAP/ex9,3363,99471,cg,1e-12,6726,ones,dd,none,,CG (DD),0.0,0,6726.0,6.601725e-09,6.601725e-09,0.159174,1.400042e-06,37.088,max_iterations,40810936828233.9
Norris/fv1,9604,85264,cg,1e-12,19208,ones,dd,none,,CG (DD),0.0,1,40.0,6.955669e-13,6.955669e-13,3.385634e-13,4.424969e-13,0.254,reached_tol,12.7612005833555
Norris/fv2,9801,87025,cg,1e-12,19602,ones,dd,none,,CG (DD),0.0,1,40.0,6.98381e-13,6.98381e-13,3.400446e-13,4.44145e-13,0.258,reached_tol,12.763552592883
Norris/fv3,9801,87025,cg,1e-12,19602,ones,dd,none,,CG (DD),0.0,1,160.0,6.91604e-13,6.91604e-13,2.907685e-13,7.956426e-13,1.022,reached_tol,4420.45536720501
HB/gr_30_30,900,7744,cg,1e-12,1800,ones,dd,none,,CG (DD),0.0,1,49.0,5.867555e-13,5.867555e-13,1.208247e-13,4.249683e-13,0.028,reached_tol,377.233354108105
GHS_psdef/gridgena,48962,512084,cg,1e-12,97924,ones,dd,none,,CG (DD),0.0,1,870.0,9.750351e-13,9.750351e-13,3.890503e-14,5.309313e-14,30.858,reached_tol,568488.052246905
