matrix_name,matrix_size,nnz,solver,tolerance,max_iters,rhs,precision,prec,prec_kv,prec_label,construction_time,is_converged,iters,true_relres_2,final_relres_2,final_relerr_2,final_relerr_A,solve_time,solve_status,condition_number
FIDAP/ex13,2568,75628,cg,1e-12,5136,ones,dd,none,,CG (DD),0.0,0,5136.0,1.287673e-10,1.287673e-10,0.4676549,1.198644e-06,21.459,max_iterations,4009583642177200.0
FIDAP/ex15,6867,98671,cg,1e-12,13734,ones,dd,none,,CG (DD),0.0,0,13734.0,5.121094e-10,5.121094e-10,0.253789,1.555932e-06,85.995,max_iterations,14326420467489.8
FIDAP/ex3,1821,52685,cg,1e-12,3642,ones,dd,none,,CG (DD),0.0,0,3642.0,5.89793e-09,5.89793e-09,0.002283904,3.752833e-07,10.649,max_iterations,61136155217.2379
FIDAP/ex33,1733,22189,cg,1e-12,3466,ones,dd,none,,CG (DD),0.0,0,3466.0,4.402874e-10,4.402874e-10,0.4197111,5.982284e-06,5.017,max_iterations,12008117207541.5
FIDAP/ex5,27,279,cg,1e-12,54,ones,dd,none,,CG (DD),0.0,0,54.0,1.425587e-07,1.425587e-07,1.136172e-11,1.006325e-10,0.001,max_iterations,132277836.528642
FIDAP/ex9,3363,99471,cg,1e-12,6726,ones,dd,none,,CG (DD),0.0,0,6726.0,6.601725e-09,6.601725e-09,0.159174,1.400042e-06,37.088,max_iterations,40810936828233.9
GHS_psdef/gridgena,48962,512084,cg,1e-12,97924,ones,dd,none,,CG (DD),0.0,1,870.0,9.750351e-13,9.750351e-13,3.890503e-14,5.309313e-14,30.858,reached_tol,568488.052246905
Oberwolfach/gyro,17361,1021159,cg,1e-12,34722,ones,dd,none,,CG (DD),0.0,1,17838.0,9.188149e-13,9.188149e-13,1.764598e-10,7.132847e-12,942.252,reached_tol,3487732786.23306
Oberwolfach/gyro_k,17361,1021159,cg,1e-12,34722,ones,dd,none,,CG (DD),0.0,1,17838.0,9.188149e-13,9.188149e-13,1.764598e-10,7.132847e-12,942.995,reached_tol,4437059289.93895
Oberwolfach/gyro_m,17361,340431,cg,1e-12,34722,ones,dd,none,,CG (DD),0.0,1,7469.0,8.888044e-13,8.888044e-13,7.617908e-09,3.826461e-11,150.438,reached_tol,11239593.4318719
HB/lund_a,147,2449,cg,1e-12,294,ones,dd,none,,CG (DD),0.0,1,275.0,4.251096e-13,4.251096e-13,9.960722e-13,7.179233e-13,0.041,reached_tol,5442963.43505828
Boeing/msc01050,1050,29156,cg,1e-12,2100,ones,dd,none,,CG (DD),0.0,0,2100.0,9.582582e-06,9.582582e-06,0.5104987,9.36138e-05,3.411,max_iterations,8999511679820590.0
Boeing/msc01440,1440,46270,cg,1e-12,2880,ones,dd,none,,CG (DD),0.0,0,2880.0,1.587216e-08,1.587216e-08,2.565924e-05,1.181786e-07,7.252,max_iterations,7001447.26464525
