Matrix,Preconditioner,PreconTime,Iterations,Converged,SolveTime,TrueRelRes2,FinalRelRes2,FinalRelErr2,FinalRelErrA
HB/nos5,None (CG),0,486,1,0.00334720833333333,9.35976175848707e-13,9.35948074040904e-13,8.8051459032627e-12,1.9979522902887e-12
HB/nos5,diag,0.000533833333333333,282,1,0.00147691666666667,6.67483425248894e-13,6.67489375240266e-13,1.11787796963514e-11,1.4540760957441e-12
HB/nos5,ssor,0.000807916666666667,124,1,0.00392291666666667,4.93165699415113e-13,4.93159091863216e-13,3.41159017658365e-11,3.12780927559457e-12
HB/nos5,ic,0.000519708333333333,54,1,0.000847375,4.07143209038937e-13,4.07143673439658e-13,9.60790985133236e-12,8.89199862393665e-13
